Replicate	Sites Masked (%)	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
59	50	4.5	9	6	9	0.6	10	1
60	10	5.5	7	6	8	0.666666667	9	1
60	20	5	5	5	9	0.555555556	9	1.2
60	30	3.5	5	6	8	0.444444444	9	1
60	40	10	-63214	4	6	1.25	8	1.1
60	50	12	-63214	3	6	1.5	8	1.2
61	10	1	1	9	10	0.1	10	1.1
61	20	5	5	5	10	0.5	10	1
61	30	5	8	6	9	0.6	10	1.3
61	40	9.5	11	5	9	1	10	1.1
61	50	12.5	18	3	7	1.222222222	9	1.4
62	10	1	1	9	9	0	9	1.1
62	20	2.5	4	7	10	0.3	10	1
62	30	4	7	7	9	0.5	10	1
62	40	4	7	6	10	0.5	10	1
62	50	10.5	-63522	4	6	1.444444444	9	1.1
63	10	1	1	9	10	0.1	10	1
63	20	5	5	7	9	0.444444444	9	1
63	30	2	2	8	10	0.2	10	1
63	40	8	8	6	10	0.8	10	1.4
63	50	9.5	-59942	5	8	1	9	1.2
64	10	1.5	3	8	10	0.2	10	1.3
64	20	2.5	4	8	10	0.3	10	1
64	30	7	10	4	10	0.8	10	1.1
64	40	13.5	23	3	8	1.7	10	1.2
64	50	15.5	-63517	4	8	1.8	10	1.7
65	10	3	3	8	10	0.3	10	1
65	20	5.5	7	7	9	0.6	10	1.2
65	30	5.5	16	7	9	0.6	10	1.5
65	40	8	12	5	8	0.9	10	1.3
65	50	17	-63508	3	7	2.222222222	9	2
66	10	0	0	10	10	0	10	1.1
66	20	2	2	8	10	0.2	10	1.1
66	30	5	5	6	10	0.5	10	1.2
66	40	9	10	4	10	1	10	1.3
66	50	6	6	5	10	0.6	10	1.4
67	10	2	2	8	10	0.2	10	1.1
67	20	8	8	5	10	0.8	10	1.4
67	30	11	18	4	9	1.7	10	1.1
67	40	8.5	12	6	9	1	10	1.4
67	50	16	22	3	8	2	10	1.1
68	10	1.5	9	7	10	0.3	10	1.1
68	20	4	10	5	9	0.444444444	9	1.2
68	30	4	8	6	9	0.444444444	9	1.1
68	40	4.5	12	7	9	0.6	10	1.3
68	50	8	15	4	8	1	9	1.3
69	10	2	2	8	9	0.111111111	9	1.1
69	20	5	5	6	9	0.444444444	9	1.2
69	30	5.5	7	7	9	0.6	10	1.1
