Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
14	8	1	0	0	10	10	0	10	1.1
14	8	2	21.5	41	4	10	4.1	10	1.2
14	9	1	3.5	5	8	10	0.5	10	1.1
14	9	2	23.5	-63173	4	10	5	10	1.3
14	10	1	7	10	6	10	1	10	1
14	10	2	29.5	-63464	2	10	7.555555556	10	1.4
15	1	1	0.5	2	9	10	0.1	10	1.2
15	1	2	6	15	4	10	1.5	10	1.1
15	2	1	0.5	2	9	10	0.1	10	1.2
15	2	2	6	15	4	10	1.5	10	1.1
15	3	1	0.5	2	9	10	0.1	10	1.3
15	3	2	6	15	4	10	1.5	10	1.1
15	4	1	0.5	2	9	10	0.1	10	1.3
15	4	2	7.5	18	3	10	1.7	10	1.2
15	5	1	0.5	2	9	10	0.1	10	1.3
15	5	2	8.5	22	3	10	2.2	10	1.3
15	6	1	0.5	2	9	10	0.1	10	1.3
15	6	2	7.5	18	3	10	1.7	10	1.2
15	7	1	1	4	7	10	0.3	10	1.3
15	7	2	7.5	18	3	10	1.7	10	1.2
15	8	1	5	14	5	10	1.3	10	1.6
15	8	2	7.5	18	3	10	1.7	10	1.3
15	9	1	6	15	4	10	1.5	10	1.4
15	9	2	8.5	22	3	10	2.2	10	1.2
15	10	1	6	15	4	10	1.5	10	1.1
15	10	2	19.5	64	1	10	6.4	10	1.1
16	1	1	0	0	10	10	0	10	1
16	1	2	3	6	6	10	0.6	10	1.1
16	2	1	0	0	10	10	0	10	1
16	2	2	6.5	13	5	10	1.3	10	1.1
16	3	1	0	0	10	10	0	10	1
16	3	2	3	6	6	10	0.6	10	1.1
16	4	1	0	0	10	10	0	10	1
16	4	2	6.5	13	5	10	1.3	10	1.2
16	5	1	0	0	10	10	0	10	1
16	5	2	6.5	13	5	10	1.3	10	1.2
16	6	1	0	0	10	10	0	10	1
16	6	2	10.5	28	3	10	2.8	10	1.1
16	7	1	0	0	10	10	0	10	1.1
16	7	2	10.5	28	3	10	2.8	10	1.1
16	8	1	0	0	10	10	0	10	1.2
16	8	2	16	56	2	10	5.7	10	1.2
16	9	1	3	6	6	10	0.6	10	1
16	9	2	16.5	60	2	10	6.1	10	1.4
16	10	1	3	6	6	10	0.6	10	1.1
16	10	2	22	67	0	10	6.8	10	1.4
17	1	1	0	0	10	10	0	10	1.1
17	1	2	6	9	6	10	0.9	10	1.1
17	2	1	0	0	10	10	0	10	1.1
17	2	2	6	9	6	10	0.9	10	1.1
17	3	1	0	0	10	10	0	10	1.1
17	3	2	6	9	6	10	0.9	10	1.1
17	4	1	0	0	10	10	0	10	1.1
17	4	2	6	9	6	10	0.9	10	1.1
17	5	1	0	0	10	10	0	10	1.1
17	5	2	9.5	14	4	10	1.4	10	1.1
17	6	1	0	0	10	10	0	10	1.1
17	6	2	9.5	14	4	10	1.4	10	1
17	7	1	0	0	10	10	0	10	1.1
17	7	2	13.5	32	3	10	3.2	10	1
17	8	1	0	0	10	10	0	10	1.1
17	8	2	13.5	32	3	10	3.2	10	1.1
17	9	1	0	0	10	10	0	10	1.3
17	9	2	21	51	2	10	5.1	10	1.2
17	10	1	6	9	6	10	0.9	10	1.1
17	10	2	27	101	1	10	6.833333333	10	1.1
18	1	1	0	0	10	10	0	10	1
18	1	2	8	22	4	10	2.2	10	1.1
18	2	1	0	0	10	10	0	10	1
18	2	2	8	22	4	10	2.2	10	1.1
18	3	1	0	0	10	10	0	10	1
18	3	2	8	22	4	10	2.2	10	1
18	4	1	0	0	10	10	0	10	1
18	4	2	8	22	4	10	2.2	10	1
18	5	1	0	0	10	10	0	10	1
18	5	2	8	22	4	10	2.2	10	1
18	6	1	0	0	10	10	0	10	1.1
18	6	2	8	22	4	10	2.2	10	1.2
18	7	1	1.5	3	8	10	0.3	10	1.1
18	7	2	11.5	37	4	10	3.7	10	1.1
18	8	1	4	7	6	10	0.7	10	1.1
18	8	2	16	37	1	10	3.7	10	1
18	9	1	5.5	12	5	10	1.2	10	1.2
18	9	2	18.5	46	0	10	4.6	10	1.1
18	10	1	8	22	4	10	2.2	10	1.1
18	10	2	22	65	0	10	6.5	10	1
19	1	1	0.5	2	9	10	0.1	10	1
19	1	2	5.5	13	5	10	1.3	10	1
19	2	1	0.5	2	9	10	0.1	10	1
19	2	2	5.5	13	5	10	1.3	10	1
19	3	1	0.5	2	9	10	0.1	10	1
19	3	2	5.5	13	5	10	1.3	10	1
19	4	1	0.5	2	9	10	0.1	10	1
19	4	2	5.5	13	5	10	1.3	10	1
19	5	1	0.5	2	9	10	0.1	10	1
19	5	2	11.5	29	4	10	2.8	10	1.3
19	6	1	0.5	2	9	10	0.1	10	1.1
19	6	2	12.5	37	3	10	3.6	10	1
19	7	1	0.5	2	9	10	0.1	10	1.1
19	7	2	13	41	3	10	4	10	1.2
19	8	1	2	5	7	10	0.4	10	1.1
19	8	2	13	41	3	10	4	10	1.4
19	9	1	4.5	12	6	10	1.1	10	1.1
19	9	2	13	49	3	10	4.9	10	1.1
19	10	1	5.5	13	5	10	1.3	10	1
19	10	2	20	72	1	10	7.2	10	1.2
20	1	1	0	0	9	9	0	9	1
20	1	2	4.5	-63223	6	9	0.7777777778	9	1.1
20	2	1	0	0	9	9	0	9	1
20	2	2	4.5	-63223	6	9	0.7777777778	9	1.1
20	3	1	0	0	9	9	0	9	1
20	3	2	4.5	-63223	6	9	0.7777777778	9	1.1
20	4	1	0	0	9	9	0	9	1
20	4	2	12.5	-63208	3	9	2.444444444	9	1.2
20	5	1	0	0	9	9	0	9	1.1
20	5	2	9	-63216	4	9	2.111111111	9	1.1
20	6	1	0	0	9	9	0	9	1.1
20	6	2	9	-63216	4	9	2.111111111	9	1.2
20	7	1	1.5	3	7	9	0.3333333333	9	1
20	7	2	12.5	-63209	3	9	3.111111111	9	1
20	8	1	1.5	3	7	9	0.3333333333	9	1
20	8	2	13	-63207	2	9	3.222222222	9	1.1
20	9	1	4.5	-63223	6	9	0.7777777778	9	1.1
20	9	2	21.5	-63193	1	9	5.333333333	9	1.2
20	10	1	4.5	-63223	6	9	0.7777777778	9	1.1
20	10	2	25	-63153	1	9	9	9	1
21	1	1	0	0	10	10	0	10	1
21	1	2	6.5	13	5	10	1.3	10	1.1
21	2	1	0	0	10	10	0	10	1
21	2	2	6.5	13	5	10	1.3	10	1.1
21	3	1	0	0	10	10	0	10	1
21	3	2	6.5	13	5	10	1.3	10	1.1
21	4	1	0	0	10	10	0	10	1
21	4	2	6.5	13	5	10	1.3	10	1.1
21	5	1	0	0	10	10	0	10	1
21	5	2	6.5	13	5	10	1.3	10	1.2
21	6	1	0	0	10	10	0	10	1.1
21	6	2	6.5	13	5	10	1.3	10	1
21	7	1	0	0	10	10	0	10	1.2
21	7	2	11	31	3	10	3.1	10	1
21	8	1	2.5	4	8	10	0.4	10	1.4
21	8	2	9	21	4	10	2.1	10	1
